feature,context_key,spatial_method,cluster_method,seed_label,random_seed,metric_id,metric_family,reference_type,higher_is_better,global_rank_score,normalized_global_rank_score,is_hvg,is_pathology_feature,method_cluster,pipeline_id
HVG,PCA_128 || kmeans || Result_seed0,PCA_128,kmeans,Result_seed0,0,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_128 || kmeans,HVG || PCA_128 || kmeans
HVG,PCA_128 || kmeans || Result_seed1,PCA_128,kmeans,Result_seed1,1,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_128 || kmeans,HVG || PCA_128 || kmeans
HVG,PCA_128 || kmeans || Result_seed42,PCA_128,kmeans,Result_seed42,42,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_128 || kmeans,HVG || PCA_128 || kmeans
HVG,PCA_128 || leiden || Result_seed0,PCA_128,leiden,Result_seed0,0,PAS,PAS,unsupervised,False,16.0,0.8421052631578947,True,False,PCA_128 || leiden,HVG || PCA_128 || leiden
HVG,PCA_128 || leiden || Result_seed1,PCA_128,leiden,Result_seed1,1,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_128 || leiden,HVG || PCA_128 || leiden
HVG,PCA_128 || leiden || Result_seed42,PCA_128,leiden,Result_seed42,42,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_128 || leiden,HVG || PCA_128 || leiden
HVG,PCA_128 || louvain || Result_seed0,PCA_128,louvain,Result_seed0,0,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_128 || louvain,HVG || PCA_128 || louvain
HVG,PCA_128 || louvain || Result_seed1,PCA_128,louvain,Result_seed1,1,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_128 || louvain,HVG || PCA_128 || louvain
HVG,PCA_128 || louvain || Result_seed42,PCA_128,louvain,Result_seed42,42,PAS,PAS,unsupervised,False,18.0,0.9473684210526315,True,False,PCA_128 || louvain,HVG || PCA_128 || louvain
HVG,PCA_256 || kmeans || Result_seed0,PCA_256,kmeans,Result_seed0,0,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_256 || kmeans,HVG || PCA_256 || kmeans
HVG,PCA_256 || kmeans || Result_seed1,PCA_256,kmeans,Result_seed1,1,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_256 || kmeans,HVG || PCA_256 || kmeans
HVG,PCA_256 || kmeans || Result_seed42,PCA_256,kmeans,Result_seed42,42,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_256 || kmeans,HVG || PCA_256 || kmeans
HVG,PCA_256 || leiden || Result_seed0,PCA_256,leiden,Result_seed0,0,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_256 || leiden,HVG || PCA_256 || leiden
HVG,PCA_256 || leiden || Result_seed1,PCA_256,leiden,Result_seed1,1,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_256 || leiden,HVG || PCA_256 || leiden
HVG,PCA_256 || leiden || Result_seed42,PCA_256,leiden,Result_seed42,42,PAS,PAS,unsupervised,False,19.0,1.0,True,False,PCA_256 || leiden,HVG || PCA_256 || leiden
HVG,PCA_256 || louvain || Result_seed0,PCA_256,louvain,Result_seed0,0,PAS,PAS,unsupervised,False,17.0,0.8947368421052632,True,False,PCA_256 || louvain,HVG || PCA_256 || louvain
